"Microsoft Corporation"
"Date","High","Low","Close","Volume"
"03 Jan 94", 80.750, 79.250, 80.125,1145200
"04 Jan 94", 80.750, 79.250, 80.500,1420000
"05 Jan 94", 82.500, 80.000, 82.250,1690000
"06 Jan 94", 84.750, 82.500, 84.625,2560000
"07 Jan 94", 85.750, 83.250, 85.250,2210000
"10 Jan 94", 86.500, 85.000, 85.750,2320000
"11 Jan 94", 86.000, 84.375, 85.250,1110000
"12 Jan 94", 85.750, 83.750, 85.500,1234000
"13 Jan 94", 85.500, 84.000, 85.375,1270000
"14 Jan 94", 86.000, 84.750, 85.625,1400000
"17 Jan 94", 86.000, 84.500, 84.750, 961000
"18 Jan 94", 85.500, 84.000, 84.625,1370000
"19 Jan 94", 84.250, 82.500, 83.250,2380000
"20 Jan 94", 86.375, 83.125, 86.250,4520000
"21 Jan 94", 87.000, 85.000, 86.250,3110000
"24 Jan 94", 87.000, 85.000, 85.250,1200000
"25 Jan 94", 85.375, 84.000, 85.125,2200000
"26 Jan 94", 85.000, 84.000, 84.250,1580000
"27 Jan 94", 84.750, 83.250, 84.250,1600000
"28 Jan 94", 85.500, 84.250, 84.875,1310000
"31 Jan 94", 85.875, 84.750, 85.125,1960000
"01 Feb 94", 85.750, 84.500, 85.125,1380000
"02 Feb 94", 85.500, 84.000, 84.000,1280000
"03 Feb 94", 84.500, 83.500, 84.500, 994000
"04 Feb 94", 84.500, 81.250, 81.250,2440000
"07 Feb 94", 81.250, 79.500, 80.750,3710000
"08 Feb 94", 80.500, 78.000, 78.750,4680000
"09 Feb 94", 80.250, 76.500, 79.625,3080000
"10 Feb 94", 80.750, 79.000, 79.375,2080000
"11 Feb 94", 79.500, 78.000, 78.750,1680000
"14 Feb 94", 79.500, 78.750, 79.125,1730000
"15 Feb 94", 80.250, 79.250, 79.750, 902000
"16 Feb 94", 80.250, 78.750, 78.750,1370000
"17 Feb 94", 79.500, 78.000, 78.625,2660000
"18 Feb 94", 80.750, 78.500, 80.000,2480000
"22 Feb 94", 80.250, 78.500, 79.500,1980000
"23 Feb 94", 82.000, 78.250, 81.000,4350000
"24 Feb 94", 80.750, 79.250, 79.875,2580000
"25 Feb 94", 81.250, 79.750, 81.000,1660000
"28 Feb 94", 83.000, 81.000, 82.500,1730000
"01 Mar 94", 83.250, 82.250, 83.250,1500000
"02 Mar 94", 83.000, 81.000, 82.750,2140000
"03 Mar 94", 83.250, 80.500, 81.000, 986000
"04 Mar 94", 81.500, 80.500, 81.000, 803000
"07 Mar 94", 82.250, 80.750, 81.250, 954000
"08 Mar 94", 81.250, 79.750, 81.000, 772000
"09 Mar 94", 81.750, 80.000, 80.875,1160000
"10 Mar 94", 82.250, 80.500, 80.875,1460000
"11 Mar 94", 82.250, 80.750, 81.750,1090000
"14 Mar 94", 84.250, 82.000, 83.875,2160000
"15 Mar 94", 85.250, 83.500, 84.875,1960000
"16 Mar 94", 85.250, 84.500, 84.750,1290000
"17 Mar 94", 85.250, 84.500, 84.500, 968000
"18 Mar 94", 85.000, 83.500, 84.750,1150000
"21 Mar 94", 85.375, 83.000, 83.250,2030000
"22 Mar 94", 85.750, 82.250, 84.750,2780000
"23 Mar 94", 87.500, 85.000, 86.250,3640000
"24 Mar 94", 87.250, 85.000, 87.250,1880000
"25 Mar 94", 89.250, 87.000, 87.500,3190000
"28 Mar 94", 88.000, 83.750, 86.375,3690000
"29 Mar 94", 86.500, 82.500, 82.500,2450000
"30 Mar 94", 85.000, 82.500, 83.625,2710000
"31 Mar 94", 85.750, 82.500, 84.750,2260000
"04 Apr 94", 87.750, 82.000, 84.500,2310000
"05 Apr 94", 87.750, 85.000, 87.750,3110000
"06 Apr 94", 89.250, 87.250, 89.000,2520000
"07 Apr 94", 90.125, 88.750, 89.750,2390000
"08 Apr 94", 90.000, 86.750, 87.000,3700000
"11 Apr 94", 87.250, 86.000, 87.000,1260000
"12 Apr 94", 86.750, 84.000, 84.750,2650000
"13 Apr 94", 85.500, 83.000, 84.875,2180000
"14 Apr 94", 85.250, 83.750, 84.125,1650000
"15 Apr 94", 85.250, 83.500, 84.875,1100000
"18 Apr 94", 85.750, 82.250, 83.000,2420000
"19 Apr 94", 89.500, 85.500, 88.125,9090000
"20 Apr 94", 89.625, 87.000, 89.500,3270000
"21 Apr 94", 91.750, 89.250, 91.500,4440000
"22 Apr 94", 92.750, 90.750, 91.750,2060000
"25 Apr 94", 94.250, 91.500, 93.750,4460000
"26 Apr 94", 95.250, 94.000, 95.000,3540000
"28 Apr 94", 95.250, 91.750, 92.125,4400000
"29 Apr 94", 93.500, 91.250, 92.500,1770000
"02 May 94", 95.625, 92.000, 95.500,2470000
"03 May 94", 95.500, 93.250, 93.500,1310000
"04 May 94", 95.250, 92.750, 95.125,2150000
"05 May 94", 96.250, 94.000, 94.375,1760000
"06 May 94", 94.250, 90.875, 92.250,3010000
"09 May 94", 93.625, 91.625, 92.250,1490000
"10 May 94", 94.500, 92.750, 94.000,2040000
"11 May 94", 94.250, 92.750, 93.500,1790000
"12 May 94", 95.250, 93.250, 94.500,1840000
"13 May 94", 98.000, 94.500, 96.500,5610000
"16 May 94", 96.750, 94.750, 95.000,1770000
"17 May 94", 95.250, 93.500, 94.625,3830000
"18 May 94", 97.500, 94.750, 97.125,3020000
"19 May 94", 99.000, 97.000, 98.375,2800000
"20 May 94", 99.250, 97.250, 97.750,2440000
"SPLIT",2.0,0.0,0.0,0
"23 May 94", 51.000, 48.500, 50.625,4680000
"24 May 94", 51.875, 50.250, 51.125,5320000
"25 May 94", 52.750, 50.250, 52.500,5370000
"26 May 94", 52.750, 51.250, 52.000,4020000
